StationName,NVG_cluster,PVG_cluster,Neg_Depth,Pos_Depth,Category,TectonicType,logS_AttenuationRF_Neg,logS_AttenuationRF_Pos,dVsCAM22RF_Neg,dVsWINTRF_Neg,dVsCAM22RF_Pos,dVsWINTRF_Pos,Negdep_Isostat_pressure,Posdep_Isostat_pressure,Temperature_N_CAM22,Temperature_N_WINT,T_N_solidus_norm_CAM22,T_N_solidus_norm_WINT,Temperature_P_CAM22,Temperature_P_WINT,T_P_solidus_norm_CAM22,T_P_solidus_norm_WINT,log_omegaGBs,Neg_Depth_scaled,logS_AttenuationRF_Neg_scaled,dVsCAM22RF_Neg_scaled,Negdep_Isostat_pressure_scaled,Temperature_N_CAM22_scaled,T_N_solidus_norm_CAM22_scaled,KMeans_k3,GMM_k3,Agglomerative_k3,KMeans_k4,GMM_k4,Agglomerative_k4,KMeans_k5,GMM_k5,Agglomerative_k5,KMeans_k6,GMM_k6,Agglomerative_k6,KMeans_k7,GMM_k7,Agglomerative_k7,KMeans_k8,GMM_k8,Agglomerative_k8,KMeans_k9,GMM_k9,Agglomerative_k9,KMeans_k10,GMM_k10,Agglomerative_k10,tsne_1,tsne_2
NPNY,4,1.0,76.0,117.5882757,LVL,2,-6.0492057800293,-5.68377685546875,4.78290164670191,2.80978893102003,4.66380666307124,-0.111674422454082,24.9840076569733,38.8174788897511,685.937757114035,1039.48816348834,0.496217330924067,0.751980827216066,1006.98182177802,1323.8689884966,0.663360883911738,0.872113958166405,6.99131080482049,-0.8717737225213066,-0.4374957977504657,1.1141925214826196,-0.8702070199518351,-1.195283736345382,-1.0447733919879703,0,0,1,3,0,1,3,0,0,3,5,5,6,6,5,6,2,2,4,4,0,4,4,9,-21.091013,-3.4303172
LBTB,2,,78.531570285391,35.0,LVD,1,-7.21071577072144,,6.45794516370524,4.96208090742457,,,26.3620447372477,,295.30480813706,809.674920130274,0.212049049914413,0.581401971191292,,,,,0.185095713670035,-0.8261383481723938,-2.045784988324717,1.5279528065143253,-0.7981330316035734,-2.220993153259299,-2.226268915490703,0,0,1,3,3,1,3,3,0,5,5,2,5,5,2,2,2,0,2,2,5,2,2,5,-35.394665,2.506848
HVD,2,,76.9823878151039,35.0,LVD,2,-6.94728994369507,,7.13726530943924,3.79054056513313,,,25.7220415701935,,171.911706318607,899.922387764484,0.124034420143295,0.649294652066727,,,,,3.17588527653597,-0.8540646998025663,-1.681031423121087,1.6957548333115315,-0.8316064275414606,-2.5449941543240224,-2.592210148297729,0,0,1,3,3,1,3,3,0,5,5,2,5,5,2,2,2,0,2,2,5,2,2,5,-36.516144,3.3556745
BOSA,1,,61.9351738710691,35.0,LVD,2,-7.08719301223755,,6.00378128060906,5.38953498021849,,,20.8254626159133,,281.394342176856,740.184905018895,0.211415734167435,0.556111874544625,,,,,-2.48081161023695,-1.1253134362910937,-1.8747487347827447,1.4157676747171744,-1.087706919718972,-2.257518735564653,-2.228902072567065,0,0,1,3,3,1,3,3,0,5,5,2,5,5,2,2,2,0,2,2,5,2,2,5,-36.062954,1.3840922
NE219,1,,56.5660966555212,35.0,LVD,1,-6.81296300888062,,5.32033193155006,5.83758953508828,,,18.9688690622153,,354.508773103472,678.386260870528,0.269960514476015,0.516595125121529,,,,,-5.17876528158504,-1.222099154646886,-1.4950351260627057,1.2469456742133969,-1.1848103315734932,-2.0655375918589476,-1.9854885726040334,0,0,1,3,3,1,3,3,0,5,5,2,5,5,2,2,2,0,2,2,5,2,2,5,-36.023033,-0.0015116952
B1665,2,1.0,57.2644435278116,123.607396395398,LVL,1,-6.81296300888062,-6.94343376159668,5.32033193155006,5.83758953508828,6.47209255524362,4.21723347303123,19.1991112852571,41.4603860040346,355.258281122236,677.89950532348,0.270531269237817,0.516224457911365,566.953984011625,978.064902649721,0.369110666674235,0.636761004329245,-5.20140736202151,-1.2095103985194053,-1.4950351260627057,1.2469456742133969,-1.1727682207055563,-2.063569561678923,-1.98311552733068,0,0,1,3,3,1,3,3,0,5,5,2,5,5,2,2,2,0,2,2,5,2,2,5,-36.01088,0.013741337
SA46,2,,86.2741053284421,35.0,LVD,1,-7.24977684020996,,6.76755841621099,4.7100992383616,,,28.8991528789411,,261.680035536675,856.413786376661,0.184826758865793,0.604892092968992,,,,,1.79367716722137,-0.6865674711012716,-2.0998710455554614,1.6044318151525934,-0.6654373986193883,-2.309283826097132,-2.3394519030470806,0,0,1,3,3,1,3,3,0,5,5,2,5,5,2,2,2,0,2,2,5,2,2,5,-35.457714,3.2828815
SA45,1,,60.8735840673741,35.0,LVD,1,-7.14662790298462,,5.67116739963957,5.39882995963923,,,20.4314113240212,,351.772477743685,724.759697440041,0.265001160313525,0.545984046284696,,,,,-3.12293820591544,-1.1444501943642071,-1.9570454804822923,1.3336071739311137,-1.1083165597838047,-2.072722454081507,-2.006108237549142,0,0,1,3,3,1,3,3,0,5,5,2,5,5,2,2,2,0,2,2,5,2,2,5,-35.54558,0.7872491
DODT,1,,56.5039672001484,35.0,LVD,6,-5.23126697540283,,2.5398355104571,4.85726182785778,,,18.9201999102163,,910.341382089835,798.830560788833,0.693230313332891,0.608314167465677,,,,,-0.208175929365889,-1.223219131828793,0.6950662538665724,0.5601223290030924,-1.1873558217814906,-0.6060530738267829,-0.22564623268323322,2,0,1,0,0,1,0,0,0,3,3,5,6,6,5,4,0,2,4,0,0,4,0,9,-9.39915,-16.454735
KOMO,1,,58.0001377255088,35.0,LVD,5,-4.63577318191528,,-0.0747671925513772,3.05061109398428,,,19.4489597954846,,1144.85958574432,944.988084788911,0.86945858040199,0.717667047494901,,,,,4.50345899308456,-1.1962484004970793,1.5196189816045211,-0.08572283780000066,-1.1597006633279408,0.009736071856162489,0.507063652871203,2,2,0,2,0,3,2,0,3,2,0,3,2,0,3,7,0,3,7,8,3,7,8,3,12.42849,-13.741224
LIRA,1,,65.4582135791669,35.0,LVD,2,-5.2392201423645,,0.855707098114907,1.81992672254489,,,21.7419774605309,,1018.18943415859,1057.32886882775,0.758710457644255,0.78787546112351,,,,,7.42133500763604,-1.0618053295429155,0.6840538712286375,0.14411794174554382,-1.0397714314962425,-0.3228696841704619,0.046602651348835296,2,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,1,0,8,1,0,8,1,-8.314219,-16.639011
LN35,2,,86.0185684098502,35.0,LVD,5,-5.0847020149231,,-0.363591830971836,-1.56362150918422,,,28.4653068187394,,1200.30669896712,1321.39901095084,0.847786482297001,0.933314977054405,,,,,12.6610459818895,-0.691173909645445,0.8980079793320832,-0.15706675424392835,-0.6881283815657181,0.15532703217392707,0.4169568795009317,2,2,0,2,0,2,2,0,2,0,0,0,0,0,1,7,0,1,7,8,1,7,8,1,12.761221,-11.887704
LN34,2,,75.2953864400586,35.0,LVD,5,-4.81085777282715,,-0.251313386382314,0.539961259077006,,,25.0378719910737,,1169.82547874383,1181.04068228255,0.8485194478316,0.856654266645953,,,,,10.1129672413512,-0.8844754451496709,1.2771874422667666,-0.1293323337559233,-0.8673898117330504,0.07529058183369154,0.4200043536769151,2,2,0,2,0,3,2,0,3,2,0,3,2,0,3,7,0,3,7,8,3,7,8,3,12.6464615,-12.806094
KUMI,2,,81.0134577113911,35.0,LVD,2,-5.29238986968994,,2.96495883190524,0.520881437358133,,,26.813926079376,,1131.78456277811,1302.77838949189,0.808850857801043,0.931054771836265,,,,,12.3491184522566,-0.7813985823318097,0.6104322076970753,0.6651340166819256,-0.7744987687426157,-0.02459583541876043,0.2550729919561607,2,2,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,1,0,8,1,0,8,1,-8.179761,-15.243594
GULU,2,3.0,71.6781936579064,242.000332285536,LVL,2,-5.2392201423645,-5.1348237991333,0.879546466047701,0.884087430728845,-4.36630501664882,-3.86718391493609,23.7538017252761,82.6307603884798,1065.89652085827,1064.38951507993,0.779354024512506,0.778252143611942,1501.82868240953,1529.6390597231,0.827909968252222,0.84324093700281,7.58835318346623,-0.9496808031277948,0.6840538712286375,0.150006614828196,-0.9345491550484109,-0.19760219659794098,0.13243306759835063,2,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,1,0,8,1,0,8,1,-8.000482,-16.198782
MAUS,2,,84.5858561569398,35.0,LVD,5,-5.0847020149231,,-0.353384699645515,-1.37049892442294,,,28.0272771332259,,1268.88872166702,1314.50089714986,0.898328298525326,0.930620104176891,,,,,12.5463438855208,-0.7170007098623477,0.8980079793320832,-0.15454544329047312,-0.7110381761581874,0.3354071475316254,0.6270962005092291,2,2,0,2,2,2,2,2,2,0,0,0,0,0,1,7,0,1,7,8,1,7,8,1,13.130144,-12.004027
MBAR,2,,88.6222470916044,35.0,LVD,2,-5.86722612380981,,3.24621221219137,3.12754757451296,,,29.5837597165214,,966.455763184048,1035.75016553672,0.67785780339053,0.726459874127107,,,,,6.89972642689536,-0.6442386726457799,-0.18551698022189653,0.7346077214615541,-0.6296311449697568,-0.4587100264382658,-0.28956100746868396,0,0,1,0,0,1,0,0,0,3,3,5,6,6,5,4,4,2,4,4,0,4,4,9,-15.417434,-5.676687
PIGI,1,,59.9823897667255,35.0,LVD,2,-5.23634815216064,,2.70914001500214,3.11761935960534,,,19.9811398558141,,680.110558211591,898.436500004643,0.513727170776389,0.678641488059403,,,,,3.1303738226527,-1.160515316380535,0.6880305832994057,0.601943021627861,-1.1318666231439658,-1.2105845777212065,-0.971972172480768,0,0,1,0,0,1,0,0,0,3,3,5,6,6,5,6,4,2,4,4,0,4,4,9,-18.888206,-8.197748
NE220,2,,55.8189580843743,35.0,LVD,1,-6.86099195480347,,4.66355804279476,5.53493692138781,,,18.720100312543,,420.80713164476,682.36874472551,0.321318798621559,0.521041324597125,,,,,-4.994381228899,-1.2355674547693671,-1.5615385872308412,1.0847129031514648,-1.1978214153984095,-1.8914538366103792,-1.7719545969008121,0,0,1,3,3,1,3,3,0,5,5,2,5,5,2,2,2,0,2,2,5,2,2,5,-35.552383,-0.5680414
LSZ,1,,58.3375689136469,35.0,LVD,2,-6.36623191833496,,2.6295968986994,5.33133299543059,,,19.5005796561284,,818.336755961184,741.543784100104,0.621482252486185,0.563162167533779,,,,,-2.42517935068562,-1.1901656941718615,-0.8764672361817963,0.5822947067395341,-1.1570008453855678,-0.8476353870109272,-0.523955433165411,0,0,1,0,0,1,0,0,0,3,3,5,6,6,5,4,4,2,4,4,0,4,4,9,-21.467,-7.127266
