Region,Longitude,Latitude
Active_Magnetic_Arc_1,-71.89247036,-15.34588956
Active_Magnetic_Arc_1,-71.84773946,-15.3729337
Active_Magnetic_Arc_1,-71.80299751,-15.3999682
Active_Magnetic_Arc_1,-71.80209547,-15.44815878
Active_Magnetic_Arc_1,-71.78802866,-15.47944946
Active_Magnetic_Arc_1,-71.77742283,-15.5294183
Active_Magnetic_Arc_1,-71.75542672,-15.57172105
Active_Magnetic_Arc_1,-71.73167749,-15.60470762
Active_Magnetic_Arc_1,-71.68508645,-15.62246738
Active_Magnetic_Arc_1,-71.64813894,-15.63855281
Active_Magnetic_Arc_1,-71.60323943,-15.66564444
Active_Magnetic_Arc_1,-71.56452962,-15.67240297
Active_Magnetic_Arc_1,-71.53549161,-15.67746744
Active_Magnetic_Arc_1,-71.4500714,-15.70197513
Active_Magnetic_Arc_1,-71.41304739,-15.71804237
Active_Magnetic_Arc_1,-71.37428286,-15.72478375
Active_Magnetic_Arc_1,-71.32929434,-15.7518233
Active_Magnetic_Arc_1,-71.30022754,-15.75684282
Active_Magnetic_Arc_1,-71.26319366,-15.77285753
Active_Magnetic_Arc_1,-71.18738339,-15.79554413
Active_Magnetic_Arc_1,-71.17313891,-15.82687223
Active_Magnetic_Arc_1,-71.16228237,-15.87689942
Active_Magnetic_Arc_1,-71.15141777,-15.92693812
Active_Magnetic_Arc_1,-71.11945008,-15.97095829
Active_Magnetic_Arc_1,-71.10517589,-16.00230001
Active_Magnetic_Arc_1,-71.06177884,-16.03862585
Active_Magnetic_Arc_1,-71.03777868,-16.07162962
Active_Magnetic_Arc_1,-71.01205375,-16.09529737
Active_Magnetic_Arc_1,-70.98968355,-16.13770324
Active_Magnetic_Arc_1,-70.96553225,-16.17083376
Active_Magnetic_Arc_1,-70.94308573,-16.2133075
Active_Magnetic_Arc_1,-70.94014594,-16.25239659
Active_Magnetic_Arc_1,-70.93720355,-16.29149172
Active_Magnetic_Arc_1,-70.93596569,-16.3399452
Active_Magnetic_Arc_1,-70.91177441,-16.37310569
Active_Magnetic_Arc_1,-70.87781759,-16.40794545
Active_Magnetic_Arc_1,-70.85194644,-16.43169457
Active_Magnetic_Arc_1,-70.81629578,-16.45712888
Active_Magnetic_Arc_1,-70.76744068,-16.4655475
Active_Magnetic_Arc_1,-70.72834478,-16.47227572
Active_Magnetic_Arc_1,-70.72368413,-16.50200961
Active_Magnetic_Arc_1,-70.70282331,-16.55387011
Active_Magnetic_Arc_1,-70.66874315,-16.58872394
Active_Magnetic_Arc_1,-70.63300681,-16.61414803
Active_Magnetic_Arc_1,-70.58748355,-16.6412264
Active_Magnetic_Arc_1,-70.5631816,-16.67435574
Active_Magnetic_Arc_1,-70.53718855,-16.69810636
Active_Magnetic_Arc_1,-70.50307392,-16.73290231
Active_Magnetic_Arc_1,-70.45914735,-16.76936017
Active_Magnetic_Arc_1,-70.42498957,-16.80415835
Active_Magnetic_Arc_1,-70.39894083,-16.8279109
Active_Magnetic_Arc_1,-70.36308005,-16.853321
Active_Magnetic_Arc_1,-70.32882323,-16.88817289
Active_Magnetic_Arc_1,-70.28461718,-16.92481256
Active_Magnetic_Arc_1,-70.26001981,-16.95813224
Active_Magnetic_Arc_1,-70.23540538,-16.99146068
Active_Magnetic_Arc_1,-70.21240102,-17.03423822
Active_Magnetic_Arc_1,-70.19922214,-17.07535632
Active_Magnetic_Arc_1,-70.16310856,-17.100914
Active_Magnetic_Arc_1,-70.12701785,-17.1264256
Active_Magnetic_Arc_1,-70.09090854,-17.15193708
Active_Magnetic_Arc_1,-70.05640583,-17.18689212
Active_Magnetic_Arc_1,-70.06447904,-17.23418617
Active_Magnetic_Arc_1,-70.07900767,-17.26110818
Active_Magnetic_Arc_1,-70.08678858,-17.30879034
Active_Magnetic_Arc_1,-70.11277426,-17.34360381
Active_Magnetic_Arc_1,-70.13721726,-17.36888165
Active_Magnetic_Arc_1,-70.17312418,-17.40203281
Active_Magnetic_Arc_1,-70.18928876,-17.43856109
Active_Magnetic_Arc_1,-70.19565469,-17.47669247
Active_Magnetic_Arc_1,-70.16937822,-17.50054019
Active_Magnetic_Arc_1,-70.13647031,-17.5450204
Active_Magnetic_Arc_1,-70.12317581,-17.58635435
Active_Magnetic_Arc_1,-70.10968678,-17.62794858
Active_Magnetic_Arc_1,-70.08445359,-17.70248812
Active_Magnetic_Arc_1,-70.04511734,-17.77298971
Active_Magnetic_Arc_1,-70.02843296,-17.80417091
Active_Magnetic_Arc_1,-70.0261784,-17.83285862
Active_Magnetic_Arc_1,-70.03114087,-17.86030348
Active_Magnetic_Arc_1,-70.03610522,-17.88775066
Active_Magnetic_Arc_1,-70.03385043,-17.91643971
Active_Magnetic_Arc_1,-70.02436805,-17.94631378
Active_Magnetic_Arc_1,-70.00889904,-17.98421941
Active_Magnetic_Arc_1,-69.99342241,-18.02212478
Active_Magnetic_Arc_1,-69.98392654,-18.0519574
Active_Magnetic_Arc_1,-69.98165271,-18.08056615
Active_Magnetic_Arc_1,-69.98061617,-18.1160267
Active_Magnetic_Arc_1,-69.97110996,-18.14586788
Active_Magnetic_Arc_1,-69.96160102,-18.17570956
Active_Magnetic_Arc_1,-69.94236981,-18.19298594
Active_Magnetic_Arc_1,-69.93284424,-18.22278917
Active_Magnetic_Arc_1,-69.92207891,-18.24574411
Active_Magnetic_Arc_1,-69.90657152,-18.28372214
Active_Magnetic_Arc_1,-69.90429543,-18.31243174
Active_Magnetic_Arc_1,-69.88630645,-18.33666888
Active_Magnetic_Arc_1,-69.86955498,-18.36777414
Active_Magnetic_Arc_1,-69.85527733,-18.41261897
Active_Magnetic_Arc_1,-69.81452418,-18.47597908
Active_Magnetic_Arc_1,-69.79053299,-18.50825055
Active_Magnetic_Arc_1,-69.78824531,-18.53693544
Active_Magnetic_Arc_1,-69.78595712,-18.5656171
Active_Magnetic_Arc_1,-69.78366779,-18.59429617
Active_Magnetic_Arc_1,-69.78137891,-18.62297184
Active_Magnetic_Arc_1,-69.76583822,-18.6608735
Active_Magnetic_Arc_1,-69.74782484,-18.68502851
Active_Magnetic_Arc_1,-69.72257375,-18.71035797
Active_Magnetic_Arc_1,-69.69608568,-18.72880725
Active_Magnetic_Arc_1,-69.67078154,-18.75408158
Active_Magnetic_Arc_1,-69.66118383,-18.78387314
Active_Magnetic_Arc_1,-69.65158211,-18.81366666
Active_Magnetic_Arc_1,-69.64319826,-18.85032731
Active_Magnetic_Arc_1,-69.61549982,-18.90422583
Active_Magnetic_Arc_1,-69.59258293,-18.9432198
Active_Magnetic_Arc_1,-69.57693415,-18.98105968
Active_Magnetic_Arc_1,-69.56730852,-19.01086316
Active_Magnetic_Arc_1,-69.55042341,-19.04182884
Active_Magnetic_Arc_1,-69.53231233,-19.06592229
Active_Magnetic_Arc_1,-69.51541496,-19.09688416
Active_Magnetic_Arc_1,-69.51303056,-19.12552899
Active_Magnetic_Arc_1,-69.51668792,-19.14614539
Active_Magnetic_Arc_1,-69.51552263,-19.18166776
Active_Magnetic_Arc_1,-69.50831111,-19.22522552
Active_Magnetic_Arc_1,-69.49866343,-19.25503284
Active_Magnetic_Arc_1,-69.50354753,-19.28253247
Active_Magnetic_Arc_1,-69.51087706,-19.32378765
Active_Magnetic_Arc_1,-69.50242334,-19.36048856
Active_Magnetic_Arc_1,-69.47697919,-19.38573929
Active_Magnetic_Arc_1,-69.44546826,-19.41901653
Active_Magnetic_Arc_1,-69.41273536,-19.44540384
Active_Magnetic_Arc_1,-69.39454253,-19.46949259
Active_Magnetic_Arc_1,-69.38361384,-19.49243852
Active_Magnetic_Arc_1,-69.37509392,-19.52915901
Active_Magnetic_Arc_1,-69.36536144,-19.55899704
Active_Magnetic_Arc_1,-69.34713701,-19.58309166
Active_Magnetic_Arc_1,-69.33739437,-19.61293329
Active_Magnetic_Arc_1,-69.36898261,-19.57966221
Active_Magnetic_Arc_1,-69.3361892,-19.60604308
Active_Magnetic_Arc_1,-69.33493168,-19.64163671
Active_Magnetic_Arc_1,-69.34096109,-19.67609715
Active_Magnetic_Arc_1,-69.33729672,-19.69791387
Active_Magnetic_Arc_1,-69.32755299,-19.72776043
Active_Magnetic_Arc_1,-69.32509451,-19.75647024
Active_Magnetic_Arc_1,-69.32383371,-19.79209165
Active_Magnetic_Arc_1,-69.30797374,-19.82999807
Active_Magnetic_Arc_1,-69.31280054,-19.85759368
Active_Magnetic_Arc_1,-69.30302462,-19.88747054
Active_Magnetic_Arc_1,-69.28473416,-19.91158505
Active_Magnetic_Arc_1,-69.25913327,-19.93683344
Active_Magnetic_Arc_1,-69.24933482,-19.9667176
Active_Magnetic_Arc_1,-69.23953073,-19.99660632
Active_Magnetic_Arc_1,-69.23704247,-20.0253514
Active_Magnetic_Arc_1,-69.22845893,-20.06212351
Active_Magnetic_Arc_1,-69.21133799,-20.09314149
Active_Magnetic_Arc_1,-69.20881374,-20.12193162
Active_Magnetic_Arc_1,-69.19167467,-20.15295963
Active_Magnetic_Arc_1,-69.18064158,-20.1759524
Active_Magnetic_Arc_1,-69.17079816,-20.20586841
Active_Magnetic_Arc_1,-69.1609488,-20.23578797
Active_Magnetic_Arc_1,-69.13647034,-20.2679323
Active_Magnetic_Arc_1,-69.11810502,-20.29203825
Active_Magnetic_Arc_1,-69.09242071,-20.31724984
Active_Magnetic_Arc_1,-69.06554352,-20.33552862
Active_Magnetic_Arc_1,-69.04834505,-20.36655384
