StationName,Continent,Latitude,Longitude,Hypothesis
DESE,Africa,11.118,39.634998,Mt
MISE,Africa,9.23691,40.759102,Mt
TIOE,Africa,14.6651,40.8666,Mt
SEHE,Africa,12.0401,40.976898,Mt
AAUS,Africa,9.0349,38.766499,Mt
HYNE,Africa,9.31476,42.096199,Mt
SEKE,Africa,12.6217,39.033401,Mt
QATE,Africa,9.3753,41.469101,Mt
MDT,Africa,32.817,-4.614,Mt
PM37,Africa,34.950699,-3.1506,Mt
PM13,Africa,34.672298,-4.9354,Mt
PM02,Africa,35.6101,-5.3471,Mt
PM36,Africa,34.8894,-3.7359,Mt
PM38,Africa,34.838501,-2.8737,Mt
PM23,Africa,33.127998,-5.03,Mt
PM22B,Africa,33.307899,-5.1024,Mt
034A,north america,27.1,-98.7,T
135A,north america,32.6,-97.4,T
150A,north america,32.6,-86,T
1G_SA57,europe,62.4,14.9,T
237B,north america,32,-95.8,T
244A,north america,32,-90.7,T
328A,north america,31.4,-102.8,T
349A,north america,31.4,-87.2,T
434A,north america,30.8,-98.3,T
435B,north america,30.8,-97.6,T
444A,north america,30.7,-90.7,T
449A,north america,30.8,-87.2,T
450A,north america,30.8,-86.6,T
456A,north america,30.7,-82,T
735B,north america,28.9,-97.8,T
736A,north america,29,-97.1,T
ABPO,Africa,-19.018,47.229,T
AU-INKA,oceania,-27.7,140.7,T
AU-KLBR,oceania,-31.6,117.8,T
AU-RKGY,oceania,-34.6,117,T
AU-WB2,oceania,-19.9,134.4,T
B06OR,Africa,-19.9011,23.526899,T
B14MH,Africa,-18.295,21.7918,T
BATG,Africa,-18.878599,46.187099,T
BGCA,Africa,5.17636,18.424219,T
BR-PRPB,south america,-6.2,-49.8,T
BROLN,Africa,-21.09967,27.33424,T
C24A,north america,47.5,-104.4,T
CB_LZH,asia,36.1,103.8,T
CB_NAQ,asia,32.2,92.2,T
CM-SMAR,south america,11.2,-74.2,T
CM24,Africa,6.523,14.288,T
COWI,north america,46.1,-89.1,T
D12,north america,34.2,-83,T
D17,north america,34.6,-83.5,T
DBIC,Africa,6.67016,-4.85656,T
E62A,north america,46.6,-69.5,T
E63A,north america,46.4,-68.5,T
EDA,Africa,3.778868,10.153427,T
F39A,north america,45.9,-90.9,T
F40A,north america,45.9,-90.1,T
F63A,north america,45.7,-69.1,T
FOMA,Africa,-24.97565,46.978877,T
G-PEL,south america,-33.1,-70.7,T
G43A,north america,45.3,-87.7,T
GB_CWF,europe,52.7,-1.3,T
GB_WLF1,europe,53.3,-4.4,T
H63A,north america,44.7,-70,T
H65A,north america,44.7,-68.2,T
HE_KIF,europe,69,20.8,T
I29A,north america,44,-100.3,T
I31A,north america,44,-98.5,T
I42A,north america,43.9,-88.9,T
I53A,north america,43.8,-79.6,T
I63A,north america,44.1,-70.6,T
I64A,north america,43.9,-69.6,T
IC_HIA,asia,49.3,119.7,T
IC_KMI,asia,25.1,102.7,T
II_AAK,asia,42.6,74.5,T
II_ARU,europe,56.4,58.6,T
IU-PTGA,south america,-0.7,-60,T
IU-SDV,south america,8.9,-70.6,T
IU_ULN,asia,47.9,107.1,T
J40A,north america,43.4,-90.7,T
J41A,north america,43.4,-90,T
JFWS,north america,42.9,-90.2,T
K18A,north america,42.6,-110,T
K30B,north america,42.7,-99.6,T
K37A,north america,42.8,-93.6,T
K49A,north america,42.8,-83.5,T
KJ40,north america,37.1,-86,T
KN_TKM2,asia,42.9,75.6,T
KOWA,Africa,14.4967,-4.014,T
KR_ARSB,asia,41.3,73,T
KR_BOOM,asia,42.5,75.9,T
KR_MNAS,asia,42.5,72.5,T
KZ_ABKAR,asia,49.3,59.9,T
KZ_AKTO,asia,50.4,58,T
KZ_MAK,asia,46.8,82,T
KZ_TLG,asia,43.2,77.2,T
L42A,north america,42,-89.7,T
L47A,north america,42,-85.2,T
L48A,north america,41.9,-84.4,T
L64A,north america,41.9,-70.8,T
LBDL,north america,37.8,-77.6,T
M27A,north america,41.5,-102.4,T
M44A,north america,41.4,-88,T
MBO,Africa,14.392024,-16.955467,T
MMNY,north america,42.7,-77.9,T
N20A,north america,40.8,-108.3,T
N58A,north america,40.8,-76.7,T
NC03,north america,35.5,-79.3,T
NE210,Africa,-21.36191,21.215712,T
NE212,Africa,-23.38039,24.660793,T
O48B,north america,40.3,-85.2,T
O49A,north america,40.2,-84.3,T
O50A,north america,40.1,-83.6,T
ON-NAN01,south america,-17.8,-40.1,T
P32A,north america,39.6,-98.6,T
PKME,north america,45.3,-69.3,T
PL_BEL,europe,51.8,20.8,T
PRNY,north america,42.5,-76.5,T
PWET,Africa,-8.28,28.530001,T
Q31A,north america,39,-99.4,T
Q44A,north america,38.9,-89,T
Q44B,north america,38.9,-89,T
Q54A,north america,39,-80.8,T
S1-AUDHS,oceania,-12.4,130.8,T
S1-AULRC,oceania,-29.4,148,T
S1-AURMK,oceania,-34.2,140.7,T
S45A,north america,37.7,-88.6,T
SHAI,Africa,5.88136,0.04389,T
SKRH,Africa,-22.827,44.733002,T
SOK,Africa,14.494418,-16.456223,T
SUSI,north america,40.4,-83.2,T
T38A,north america,37,-94.3,T
TAM,Africa,22.79149,5.52838,T
TUL1,north america,35.9,-95.8,T
U26A,north america,36.4,-103.7,T
V37A,north america,35.9,-95.1,T
VBMS,north america,32.2,-90.5,T
W07,north america,31.6,-83.9,T
W11,north america,32,-83.9,T
W21,north america,32.4,-83.9,T
W23,north america,32.5,-83.9,T
W32A,north america,35.1,-99.2,T
WAND,Africa,-24.649982,19.743595,T
WLFT,north america,38.2,-78.1,T
WVNY,north america,42.4,-78.6,T
X26A,north america,34.6,-103.8,T
X36A,north america,34.6,-96.4,T
X4_C10,asia,33.3,91.8,T
X4_F14,asia,31.6,94.6,T
X4_F16,asia,31.7,92.4,T
XF_H0700,asia,29.1,85.4,T
XW_KHA,asia,44.2,74,T
Y29A,north america,33.9,-101.7,T
Y2_GUGE,asia,31.5,79.7,T
Y54A,north america,33.9,-82.7,T
Z02PP,Africa,-12.6965,30.135799,T
Z10KW,Africa,-13.4991,32.382801,T
Z35A,north america,33.3,-97.3,T
Z36A,north america,33.3,-96.4,T
Z37A,north america,33.2,-95.6,T
Z51A,north america,33.3,-85.2,T
IC_XAN,asia,34,108.9,M-C
PAL,north america,41,-73.9,M-C
AU-PSA00,oceania,-21.6,119.8,M-C
H24A,north america,44.7,-104.6,M-C
O34A,north america,40.2,-96.7,M-C
E16A,north america,46.5,-111.7,M-C
D17A,north america,47.2,-110.7,M-C
