latitude,longitude
1.817814552,15.56454706
1.240985752,15.29981478
1.003084789,15.07430529
0.917000726,14.56995481
0.468618689,14.36344231
0.331558316,14.26331693
0.035803023,14.15055581
-0.096186502,14.0176395
-0.279772688,13.92420468
-0.483600054,13.82259023
-0.848193168,13.61399586
-1.058775911,13.51849267
-1.207902382,13.44717212
-1.436959118,13.42779559
-1.758206425,13.43826635
-1.926042055,13.44994603
-2.106822245,13.44665653
-2.335261505,13.42633088
-2.701909633,13.51015503
-2.770717918,13.61857163
-2.965793247,13.74726968
-3.131878482,13.85643664
-3.248237241,13.94747097
-3.378829473,14.04453997
-3.524055608,14.15461
-3.746009398,14.26679534
-4.032928484,14.41677026
-4.265289231,14.58405059
-4.468191692,14.71817987
-4.658171204,14.86712108
-4.739291639,15.07176578
-4.756522667,15.25927964
-4.835537223,15.42204994
-4.920875387,15.57051754
-5.044432666,15.77266071
-5.153537904,16.08755067
-5.179493985,16.29560491
-5.237697683,16.57188075
-5.250368754,16.78793334
-5.284745498,17.12906206
-5.314211281,17.49915628
-5.350390111,17.74327394
-5.413250933,18.07128777
-5.453193436,18.45799873
-5.533530863,18.83555004
-5.611718228,19.18188419
-5.631636511,19.67873629
-5.70641654,20.1116184
-5.706039226,20.51799042
-5.687661707,20.86565914
-5.613995527,21.28216726
-5.607122741,22.01179846
-5.674077831,22.32544286
-5.866073018,22.50033257
-6.140465055,22.70847998
-6.319124816,22.90706124
-6.396750663,23.28909845
-6.633018641,23.75475845
-6.745540392,24.09377115
-7.01579649,24.48054877
-7.284527888,24.81742684
-7.481098735,25.17493103
-7.602243629,25.49948987
-7.583734923,25.71520611
-7.51063861,25.88715121
-7.28887329,25.9254233
-7.199998003,25.93620039
-7.08543042,25.87857931
-6.953538982,25.76800539
-6.845236043,25.67998257
-6.690467397,25.54818294
-6.457791905,25.32877857
-6.259480003,25.04111182
-6.201581514,24.90746364
-6.129350916,24.78231564
-5.818565216,24.77856684
-5.331824009,25.11787061
-4.788007309,25.0762665
-4.593254384,25.14393962
-4.538695006,25.35022206
-4.261619379,25.85776316
-3.919074387,25.87497662
-3.41349082,25.87198798
-2.764455194,25.86729417
-1.970511871,25.86132004
-1.394818263,25.8634672
-1.24220272,25.89087825
-0.895916397,26.1111541
-0.757552867,26.25323943
-0.681661142,26.28630504
-0.5911876,26.21450746
-0.290626863,26.0103345
0.009141582,25.84444316
0.384906553,25.74990918
0.514283503,25.70896677
0.614461276,25.46423371
0.716036095,25.2002511
0.978931629,24.87708297
1.145771412,24.71217658
1.325213769,24.50898589
1.499983271,24.48291634
1.685750194,24.61395766
1.932608305,24.64652349
2.181546847,24.65884474
2.541866494,24.17930598
2.771366525,23.79938026
3.028217584,23.62667544
3.290927552,23.30490007
3.54058875,22.81402274
3.607561085,22.08705235
3.663915438,21.58291084
3.683291417,20.99958486
3.471044855,20.43768272
3.311991429,19.93325162
3.24338273,19.58514791
3.23070904,19.27780077
3.468751666,18.88959831
3.649399496,18.43803302
3.713493568,18.01541603
3.717666179,17.70387778
3.95352921,17.24947072
4.147877461,17.02617084
4.360315337,16.88216642
4.743162837,16.86679524
5.011115025,16.80414045
5.272345317,16.68396452
5.416794892,16.64264774
5.480086826,16.59807028
5.611296541,16.48536035
5.679857846,16.39752989
5.770802097,16.21570716
5.807749884,16.14992127
5.821622658,16.07924219
5.826378485,15.92880948
5.807701825,15.78104428
5.757397968,15.64763202
5.688938263,15.59716131
5.514561445,15.57454962
5.38522377,15.55218858
5.3339548,15.5272034
5.27564528,15.48065576
5.232906303,15.36869785
5.183816145,15.20983243
5.148905457,15.02397122
5.097678002,14.92483193
5.030817939,14.89324168
4.953089227,14.90021977
4.845995047,14.91390698
4.696197868,14.92012731
4.469108102,15.05679603
4.267561551,15.2257481
4.221031023,15.36365718
4.178169161,15.59656806
4.141908455,15.70624546
4.067714074,15.7924038
4.013957658,15.84292843
3.942051272,15.88810903
3.856717564,15.91589859
3.512275265,15.93498191
3.380034842,15.94121548
3.009169174,15.9594033
2.812110361,15.93867632
2.645817347,15.89651825
2.496389559,15.84379849
2.178073233,15.71684507
1.955124586,15.62324025
1.817814552,15.56454706
