latitude,longitude
28.11640623,-4.002775131
28.10626225,-3.226605404
28.05886955,-2.749912905
28.10303491,-2.216004097
28.14287993,-1.880236838
28.27448643,-1.484639074
28.41301676,-1.089518897
28.56823056,-0.400047684
28.69955525,0.221973098
28.77274455,0.53748486
28.95115856,0.888575144
29.21131711,1.071415932
29.48665538,1.136427294
29.6887969,1.072327747
29.96357654,0.909966963
30.36000662,0.551469246
30.66584408,0.346170163
30.84145092,0.217485157
31.38673239,-0.105410726
31.78887806,-0.269718235
31.98476158,-0.345295073
32.34710173,-0.707545267
32.50077952,-1.007100658
32.56875228,-1.377696677
32.56155482,-1.699282372
32.62375414,-2.112108113
32.64882026,-2.318386549
32.57817634,-2.687578727
32.45060207,-3.048987777
32.23827831,-3.343477415
31.99053235,-3.537193262
31.70858795,-3.725539858
31.59447478,-3.830540922
31.54913058,-4.027706166
31.64400632,-4.288149358
31.75593277,-4.401772318
31.89333644,-4.492532797
32.00676934,-4.593619321
32.03710395,-4.722773716
31.83515782,-4.979303563
31.609075,-5.329081298
31.40357472,-5.68320772
31.27810639,-5.940494125
31.18929616,-6.260968071
31.10480708,-6.625899882
30.87433588,-6.909890627
30.70092568,-7.23818566
30.30270302,-7.55536684
30.11192599,-7.694963123
30.02223438,-7.773399349
29.88764657,-7.890895249
29.73802353,-8.021234041
29.59783394,-8.184162397
29.49140682,-8.399563051
29.40532518,-8.665420973
29.31488672,-8.962081153
29.21792473,-9.305076526
29.08051142,-9.641242114
28.91474569,-9.87796618
28.80632794,-9.983660291
28.57928169,-10.06699469
28.42133402,-10.03744831
28.31032067,-9.859958037
28.27711593,-9.603614652
28.25740062,-9.241717681
28.17518239,-7.762855591
28.15906835,-7.225742127
28.14093541,-6.690617543
28.12240183,-6.021273863
28.10812751,-5.535947814
28.07908687,-5.049743415
28.08177962,-4.628720619
28.093439,-4.239239442
28.11640623,-4.002775131
