latitude,longitude
-10.39894947,16.36866209
-10.89009346,16.74241566
-11.21054171,16.98517916
-11.57322991,17.2750173
-11.8620222,17.51171039
-12.17912059,17.75814554
-12.31477892,17.83691928
-12.59077599,17.74244114
-12.9349673,17.67274014
-13.34399552,17.59703123
-13.72989474,17.64960325
-14.09926096,17.68931095
-14.43574849,17.74314843
-14.84762353,17.99500563
-15.05837297,18.13935877
-15.64334535,18.23237549
-15.90576026,18.17625202
-16.08278552,18.04235195
-16.41094158,17.76504925
-16.62990261,17.44901154
-16.8102513,17.03950706
-16.89046281,16.55851187
-16.9185652,16.14172095
-17.04518326,15.64425568
-17.06625087,15.38463193
-17.07617821,15.26157827
-17.14842881,15.01961814
-17.29052055,14.7359403
-17.44445642,14.49746153
-17.55996845,14.08206386
-17.57947988,13.64199105
-17.57416135,13.42023069
-17.49145578,13.22454478
-17.32395178,13.05479794
-17.24473254,12.9845938
-17.14738848,12.92125341
-17.05708188,12.86648836
-16.87065491,12.61830632
-16.72879995,12.38149839
-16.62285457,12.21115046
-16.53231283,12.07380045
-16.45950569,11.97501135
-16.36768747,11.85067136
-16.25899166,11.78916048
-16.06148187,11.79587047
-15.9718284,11.75169902
-15.86590355,11.71962509
-15.79070576,11.81820924
-15.70181405,11.92891925
-15.15396483,12.09933925
-14.54891641,12.35020292
-13.86257779,12.48873448
-13.28756295,12.69853975
-12.87899993,13.05110685
-12.52883966,13.321776
-11.87417865,13.7613773
-11.27122267,14.03557215
-10.6629897,14.22416607
-10.26123644,14.26748218
-9.833299852,14.25884161
-9.655722913,14.45248647
-9.575620264,14.62280351
-9.467210332,14.91930025
-9.485959463,15.05036905
-9.556494518,15.13814681
-9.609720399,15.24031858
-9.811810186,15.43811861
-9.985642755,15.60084051
-10.12264139,15.96953542
-10.21129788,16.18815327
-10.39894947,16.36866209
