longitude,latitude
17.62746029,25.3819902
17.29776549,25.25949611
16.96578802,25.24666223
16.74022117,25.37776903
16.8448811,25.6490159
17.02488246,25.83449754
17.09084625,26.07594612
16.72791248,26.21027436
16.46807093,26.20050131
16.14679286,26.11132486
15.66499974,26.22769642
15.38946883,26.46894139
15.29572236,26.6617405
14.93128186,26.7378265
14.59386555,26.75595919
14.18120262,26.71496204
13.70271988,26.68379099
13.29804873,26.69337257
13.09705443,26.82923409
13.14416612,27.17215359
13.45081972,27.44075335
13.81184188,27.6138575
13.86278399,27.86824344
13.76617651,28.28332726
13.71345391,28.77763144
13.88906541,28.96089357
14.28199914,29.13083893
14.27864479,29.4961911
14.10507116,29.84993989
14.07366798,30.13148937
14.3493124,30.18061133
14.61656531,30.16153167
14.81045141,29.96108104
14.96117984,29.81836462
14.77554943,29.68749998
14.60219621,29.52035712
14.76157616,29.18440219
14.9595942,28.75444839
15.54082567,28.52885086
16.20920063,28.42896426
16.68580645,28.40999458
16.87904149,28.0433899
17.1512586,28.01885432
17.53037211,28.01308387
17.66167843,27.9567026
17.65982318,27.67062411
17.67714124,27.39888575
17.5968993,27.17862105
17.47244062,27.01954626
17.36384736,26.7140932
17.64373499,26.3236797
17.8666176,26.15809291
17.99778416,25.95322023
18.10983045,25.73266082
17.9157918,25.58518572
17.62746029,25.3819902
